"","SRR1178035","SRR1178074","SRR1178075","SRR1178029","SRR1178039","SRR1178055"
"NM_182669",21.0340998764896,35.843849953911,15.4263112954765,47.228160473251,18.3710804523617,39.6597927607167
"NM_182672",359.683107887972,402.661431300429,465.646063178273,411.732681048855,420.493619242946,441.923405047986
"NM_182673",98.8602694195012,74.015222632102,92.5578677728592,62.9708806310013,50.0101634536514,31.1612657405631
"NM_182675",149.342109123076,123.358704386837,115.983007147472,92.0343639991558,108.185251552797,60.9061103111007
"NM_182736",410.164947591547,326.318685944047,344.520952265643,238.562759313601,249.03020168757,288.949918685222
"NM_182814",3624.17540871916,3664.91728165119,3259.52244224791,4820.90530369262,4522.34763802304,5058.03999816141
"NM_182816",130.411419234236,145.702922539924,150.263698915197,121.09784736731,134.721256650653,79.3195855214334
"NM_182817",801.399205294254,964.525416941606,805.024911678757,934.875381675635,889.976786358857,740.788271923387
"NM_182819",2515.67834522816,2320.5401561071,2133.40171767813,1430.16557740793,1468.66582060825,1694.03971935061
"NM_182820",166.169389024268,187.598331576963,201.684736566786,234.929823892582,223.514812170401,184.134752103328
"NM_182821",786.675335380711,755.048371756412,743.319666496851,1024.48778872744,1014.49188720264,682.715003952338
"NM_182823",113.584139333044,64.2396271901263,98.8426612636089,78.7136007887516,75.5255529708204,83.5688490315102
"NM_182824",365.993337850919,350.990426821415,427.937302233775,1057.18420751662,626.657966541672,556.65351982006
"NM_182825",18.9306898888407,4.18954090370389,10.8555523931131,3.63293542101931,14.2886181296147,8.49852702015358
"NM_182843",1291.49373241646,1346.23914372352,1345.51715188323,1697.79182008969,1649.31477838981,1745.03088147154
"NM_182844",23.1375098641386,8.37908180740778,5.71344862795427,33.9073972628469,25.5153895171691,22.6627387204096
"NM_182950",2635.57271452415,2683.63370109477,2414.50339017348,4347.41272048644,4812.20246293809,4926.31282934903
"NM_182951",6766.66993026671,6364.37813727106,6666.45185909705,7188.36821972353,7080.01028322407,8182.66509923788
"NM_182952",460.646787295122,418.488585825533,511.924997064703,708.422407098765,277.607437946799,269.120022304863
"NM_182954",50.4818397035751,52.6020135687266,58.2771760051336,38.7513111575393,34.7009297433499,36.8269504206655
"NM_182955",344.95923797443,317.474099591784,309.097570772326,288.212876734198,303.122827463969,341.357501976169
"NM_183051",23.1375098641386,23.2752272427994,24.5678291002034,14.5317416840772,4.08246232274705,5.66568468010239
"NM_183052",704.642345862402,710.825439995093,645.619694958833,1001.47919772766,890.997401939544,855.518386695461
"NM_183054",841.363995059584,515.313531155578,547.348378558019,417.78757341722,442.947162018055,512.744463549266
"NM_183056",710.952575825349,840.235703465058,711.324354180307,1680.83812145827,1183.91407359664,1155.79967474089
"NM_183325",262.92624845612,274.182176920177,314.81101940028,317.276360102353,266.380666559245,218.128860183942
"NM_183328",416.475177554494,358.438499539111,309.097570772326,412.943659522528,443.967777598742,412.178560477449
"NM_183329",1232.59825276229,1393.25510275397,1384.93994741612,1636.03191793236,1694.22186394003,1805.93699178264
"NM_183331",620.505946356443,592.587285601672,558.203930951133,502.556066574337,394.978229725777,396.597927607167
"NM_183332",1419.80174166305,1772.17580226674,1512.92119668229,3212.72589065474,3184.3206117427,2416.41451606367
"NM_183402",1495.52450121841,1839.67396127086,1635.18899732051,1897.60326824575,2070.82901321344,2253.52608151073
"NM_184046",4.20681997529792,12.1031181662557,9.71286266752226,9.68782778938482,11.2267713875544,8.49852702015358
"NM_184049",1095.87660356511,1339.25657555068,1428.93350185136,1787.4042271415,1727.90217810269,1616.13655499921
"NM_184050",1703.76208999566,1204.7257620873,2015.13333107947,2113.15743655956,2129.00410131259,1974.49111101568
"NM_184051",431.199047468037,373.334644974502,455.933200510751,359.660606680911,380.689611596162,267.703601134838
"NM_194461",100.96367940715,89.3768726123496,134.266042756925,130.785675156695,135.741872231339,151.557065192739
"NM_198049",21.0340998764896,12.5686227111117,6.85613835354513,16.9536986314234,21.432927194422,11.3313693602048
"NM_198051",170.376208999566,208.546036095482,133.123353031335,215.554168313812,197.999422653232,211.046754333814
"NM_198130",1003.32656410855,977.094039652718,900.439503765593,1031.75365956948,801.183230839109,851.269123185384
"NM_198134",4261.5086349768,2804.66488275733,5302.08032674157,3740.71250517621,5796.07588272013,2229.44692162029
"NM_198726",658.367326134125,797.874789883163,554.77586177436,721.743170309169,811.389386645976,964.582816787432
"NM_198728",870.81173488667,713.618467264229,829.592740778961,818.621448203017,691.977363705625,753.536062453618
"NM_198730",1512.3517811196,1586.90499341406,1334.66159949012,1893.97033282473,2020.81884975979,2284.68734725129
"NM_198731",9509.51655416095,10579.0562863972,8906.12372125512,6799.64412967447,6978.96934073608,8038.19013989526
"NM_198732",1093.77319357746,1258.72428929059,1204.96631563556,1206.13455977841,1055.31651043011,1293.19252823337
"NM_198734",8.41363995059584,7.4480727176958,0.571344862795427,6.05489236836551,9.18554022618086,4.24926351007679
"NM_198736",113.584139333044,65.6361408246943,77.1315564773827,95.6672994201751,111.247098294857,124.645062962253
"NM_198737",3725.13908812631,3882.77340864379,3520.05569968263,1483.44863024955,1548.27383590182,1508.48854607726
"NM_198738",288.167168307908,229.028236069146,257.676533120738,600.645322941859,804.245077581169,685.547846292389
"NM_198740",317.614908134993,281.630249637873,400.512748819595,261.57135031339,185.752035684991,184.134752103328
"NM_198741",168.272799011917,130.341272559677,179.402286917764,167.115029366888,123.494485263098,106.23158775192
"NM_198742",10024.8520011349,10400.3025411725,10994.9605396352,7925.85411019045,7860.78120244945,8412.12532878202
"NM_198743",1878.34511897052,1603.19765248402,1664.89893018588,1864.90684945658,1827.92250500999,1834.26541518315
"NM_198744",452.233147344527,474.814635753107,426.223267645389,617.599021573282,649.111509316781,609.061103111007
"NM_198745",786.675335380711,822.081026215674,885.013192470117,1047.49637972723,1097.16174923827,1189.7937828215
"NM_198747",948.637904429681,946.370739692223,662.760040842696,105.35512720956,81.649246454941,75.0703220113567
"NM_198748",8.41363995059584,13.9651363456796,15.997656158272,4.84391389469241,4.08246232274705,2.83284234005119
"NM_198750",1167.39254314517,1013.86889869634,654.189867900764,203.444383577081,238.824045880702,192.633279123481
"NM_198751",2406.30102587041,2450.41592412192,2608.18929866113,2694.42710392265,2635.22942933322,2773.35265091012
"NM_198752",292.373988283206,271.854654195897,193.68590848765,118.675890419964,96.9584801652424,101.982324241843
"NM_198753",10014.3349511967,10189.8944868976,11942.8216670128,14354.938826921,12070.8204727823,15005.5658752512
"NM_198754",795.088975331307,638.672235542415,652.475833312378,842.841017676479,1060.41958833355,849.852702015358
"NM_198755",1453.45630146543,1529.18242985192,1783.16731678453,2453.44238766171,2251.477970995,1824.35046699297
"NM_198756",673.091196047667,757.375894480692,759.317322655123,1024.48778872744,1155.33683733742,907.925969986408
"NM_198757",2532.50562512935,2728.32213740094,2717.31616745505,1941.19849329798,2148.39579734564,2063.7256447273
"NM_198758",35.7579697900323,21.8787136082314,14.2836215698857,16.9536986314234,8.1649246454941,14.164211700256
"NM_198759",92.5500394565543,123.824208931693,157.691182131538,116.253933472618,98.999711326616,80.736006691459
"NM_198760",235.581918616684,246.717408773673,158.833871857129,699.945557783053,695.039210447685,1056.6501928391
"NM_198761",27.3443298394365,29.3267863259272,31.9953123165439,18.1646771050965,30.6184674206029,16.9970540403072
"NM_198762",10.5170499382448,13.4996318008236,21.1397599234308,4.84391389469241,5.10307790343381,14.164211700256
"NM_198763",94.6534494442032,177.357231590131,106.270144479949,917.921683044211,617.472426315491,1137.38619953055
"NM_198764",189.306898888406,277.440708734169,160.547906445515,405.677788680489,350.07114417556,449.005510898114
"NM_198766",279.753528357312,270.923645106185,234.251393746125,271.259178102775,248.009586106883,247.87370475448
"NM_198767",1217.87438284875,1097.19421222556,1103.83827492077,1118.94410967395,1410.49073250911,1502.82286139716
"NM_198768",294.477398270855,244.85539059425,339.950193363279,158.638180051176,84.7110931970013,104.815166581894
"NM_198769",58.8954796541709,56.7915544724305,105.698799617154,69.0257729993668,79.6080152935675,70.8210585012799
"NM_198770",279.753528357312,301.64694506668,244.535601276443,415.365616469874,359.25668440174,314.445499745683
"NM_198771",248.202378542577,272.320158740753,293.67125947685,431.108336627624,440.905930856681,368.269504206655
"NM_198772",140.92846917248,97.2904498749014,123.410490363812,58.1269667363089,64.298781583266,50.9911621209215
"NM_198773",12.6204599258938,2.32752272427994,9.14151780472684,19.3756555787696,15.3092337103014,2.83284234005119
"NM_198774",193.513718863704,267.665113292193,217.111047862262,259.149393366044,289.854824915041,398.014348777193
"NM_198776",2963.70467259739,1418.39234817619,3308.08675558552,1892.75935435106,622.575504218925,1001.4097672081
"NM_198777",42.0681997529792,30.2577954156392,53.1350722399747,39.9622896312124,42.865854388844,21.246317550384
"NM_198779",797.192385318956,960.335876037902,746.747735673624,652.717397309802,616.451810734805,753.536062453618
"NM_198780",42377.4010211636,92792.7449625029,14842.3968456996,13858.437652715,18732.3783679248,3631.70387994563
"NM_198783",721.469625763594,752.255344487276,425.651922782593,1048.70735820091,1156.3574529181,1362.59716556462
"NM_198785",1421.9051516507,1457.96023448895,1186.6832800261,1370.82763219795,1375.78980276576,1335.68516333414
"NM_198786",4421.36779403812,4200.71301278043,4006.27017792154,3760.08816075498,4172.27649384749,5460.30361044868
"NM_198787",492.197937109857,523.692612962986,448.50571729441,438.374207469663,428.65854388844,410.762139307423
"NM_198788",4577.02013312414,4290.55538993764,4808.43836528632,3463.39843470507,3297.60894119893,4196.85592678584
"NM_198789",3352.83552031244,3220.36044131372,2724.74365067139,3804.89436428089,3643.59762305174,4050.96454627321
"NM_198791",1001.22315412091,676.843608220606,1087.2692738997,1141.95270067374,1007.34757813783,981.579870827739
"NM_199081",1325.14829221885,1342.04960281981,1296.38149368282,1062.02812141131,1133.90391014299,1191.21020399153
"NM_199082",384.92402773976,597.242331050232,552.490482323178,209.499275945447,233.720967977269,314.445499745683
"NM_199083",395.441077678005,432.453722171213,333.094055009734,922.765596938904,964.481723748991,920.673760516638
"NM_199084",3157.21839146109,3037.88265973018,3229.24116451976,2653.25383581777,2752.6002211122,3315.84195902992
"NM_199085",281.856938344961,251.372454222233,279.387637906964,270.048199629102,189.834498007738,277.618549325017
"NM_199086",746.710545615381,827.20157620909,910.723711295911,985.736477569905,996.12080675028,1022.65608475848
"NM_199089",1581.76431071202,1883.43138848733,2010.56257217711,1792.24814103619,1761.58249226535,1089.22787974968
"NM_199090",180.893258937811,206.218513371203,242.250221825261,174.380900208927,126.556332005159,154.38990753279
"NM_199091",3775.62092782989,3413.54482742896,3182.96223063333,4601.71819995779,4495.81163292519,5056.62357699138
"NM_199092",317.614908134993,348.662904097135,283.387051946532,388.724090049066,325.576370239077,422.093508667628
"NM_199093",18272.3225627065,17872.5814952008,21404.8639397679,14093.3674766076,14132.4639457696,11208.1407184126
"NM_199094",4823.11910167907,4363.17409893517,4953.55996043636,6749.99401225387,6668.70220420731,6728.00055762159
"NM_199096",494.301347097506,589.32875378768,589.627898404881,603.067279889205,577.668418668708,572.234152690341
"NM_199097",4717.94860229662,4537.73830325617,4333.07943944052,3544.53399244117,3361.9077227822,4703.93470565501
"NM_199098",1234.70166274994,1186.57108483791,1319.80663305744,1304.22381614593,1289.03747840738,1019.82324241843
"NM_199099",1308.32101231765,1255.93126202145,1426.64812240018,2306.91399234726,2390.2816899684,2286.10376842131
"NM_199100",4507.60760353172,4143.45595376315,3786.3024057453,2761.03091997467,2971.01195537917,2439.07725478408
"NM_199101",258.719428480822,207.149522460915,223.395841353012,60.5489236836551,42.865854388844,33.9941080806143
"NM_199102",351.269467937376,411.971522197549,404.512162859163,405.677788680489,412.328694597452,477.333934298626
"NM_199103",454.336557332176,294.66437689384,369.088781365846,480.758454048222,511.328405924068,538.240044609727
"NM_199104",542.679776813432,659.619940060934,554.77586177436,1402.31307251345,1320.67656140867,1433.4182240659
"NM_199105",248.202378542577,226.23520880001,263.961326611487,96.8782778938482,40.8246232274705,45.3254774408191
"NM_199107",117.790959308342,128.944758925109,151.406388640788,164.693072419542,189.834498007738,137.392853492483
"NM_199108",2690.26137420302,2611.94600118695,2679.03606164776,2012.6462232447,2103.48871179542,1762.02793551184
"NM_199109",304.994448209099,455.263444869156,428.50864709657,526.775636047799,410.287463436079,460.336880258319
"NM_199110",56.7920696665219,53.5330226584386,57.7058311423382,24.219569473462,21.432927194422,36.8269504206655
"NM_199111",94.6534494442032,119.634668027989,143.407560561652,163.482093945869,160.236646167822,114.730114772073
"NM_199112",1278.87327249057,1105.57329403297,1383.22591282773,1875.80565571964,1906.50990472287,1298.85821291347
"NM_199113",130.411419234236,63.7741226452703,168.546734524651,29.0634833681545,21.432927194422,16.9970540403072
"NM_199114",355.476287912674,347.266390462567,307.954881046735,257.938414892371,283.73113143092,195.466121463532
"NM_199115",3706.20839823747,3208.25732314747,5764.86966560586,4022.87048954205,3746.67979670111,3470.23186656271
"NM_199116",881.328784824915,1079.03953497618,1112.4084478627,831.942211413421,1000.20326907303,1109.05777613004
"NM_199117",164.065979036619,110.324577130869,97.6999715380181,158.638180051176,110.22648271417,65.1553738211775
"NM_199118",717.262805788296,681.03314912431,877.585709253776,1129.842915937,1235.96546821167,1532.5677059677
"NM_199119",1003.32656410855,1444.46060268813,1236.3902830893,2027.17796492877,1915.69544494905,2033.98080015676
"NM_199120",157.755749073672,127.082740745685,129.123938991767,219.187103734832,227.597274493148,242.208020074377
"NM_199207",2273.78619664853,2479.27720590299,2400.21976860359,2810.68103739527,2979.17688002466,2847.00655175145
"NM_199208",6308.12655295923,4337.10584442324,1457.50074499114,5374.32246616123,6314.548597709,7712.41327078938
"NM_199230",391.234257702707,368.214094981086,331.951365284143,377.825283786008,364.359762305174,444.756247388038
"NM_199236",44.1716097406282,50.2744908444467,59.9912105935199,99.3002348411944,125.535716424472,123.228641792227
"NM_199253",4314.09388466802,8058.81468054686,5591.75217217885,16744.199355478,13973.2479151825,24858.1915339492
"NM_199256",12121.951758821,13225.9151284483,12283.9145501017,9651.49843517462,8989.58203468901,10338.4581200168
"NM_199267",1302.01078235471,1460.28775721323,1332.37622003894,2836.11158534241,2118.79794550572,2179.87218066939
"NM_199268",42.0681997529792,44.2229317613188,26.2818636885897,12.109784736731,10.2061558068676,8.49852702015358
"NM_199270",755.124185565977,720.135530892213,759.317322655123,978.470606727867,984.894035362726,1077.89651038948
"NM_199370",4884.11799132089,6601.31995060276,4146.82101416921,21035.9070661755,18265.957047551,13181.2154082582
"NM_199372",5765.4467761458,6719.55810499618,5298.080912702,10196.4387483275,9354.96241257487,10651.4871985925
"NM_199373",279.753528357312,244.389886049394,261.675947160306,491.65726031128,506.225328020634,433.424878027833
"NM_199375",1123.22093340455,957.077344223911,1086.6979290369,1359.92882593489,1301.28486537562,1160.04893825096
"NM_199376",1375.63013192242,1376.49693913916,1397.50953439762,877.959393412999,1047.15158578462,907.925969986408
"NM_199378",734.090085689487,789.030203530899,726.179320612988,1076.55986309539,970.605417233111,907.925969986408
"NM_199379",4362.47231438395,3714.26076340593,4576.47235099137,3858.1774171225,3597.66992192084,4667.10775523434
"NM_199380",1977.20538839002,2240.00786984701,2028.84560778656,2708.95884560673,2573.99249449202,2752.10633335974
"NM_199381",58.8954796541709,141.978886181076,77.7029013401781,32.6964187891738,55.1132413570852,31.1612657405631
"NM_199382",559.507056714624,434.781244895492,689.041904531285,483.180410995568,359.25668440174,396.597927607167
"NM_199383",1140.04821330574,1362.53180279348,1190.11134920288,703.578493204072,855.275856615507,1005.65903071817
"NM_199384",4863.0838914444,5055.84486168088,5180.38387096614,5145.44753463701,5159.21176037159,5121.77895081256
"NM_199385",5517.24439760322,6322.01722368917,6108.81927300871,4923.83847395483,5671.56078187634,7077.85658661791
"NM_199386",841.363995059584,932.405603346543,801.025497639189,1462.86199619711,1758.52064552329,1237.95210260237
"NM_199387",471.163837233367,583.742699249408,410.225611487117,379.036262259681,452.132702244236,482.999618978729
"NM_199388",1346.18239209533,1284.32703925767,1388.36801659289,1029.33170262214,890.997401939544,865.43333488564
"NM_199389",294.477398270855,315.146576867504,281.10167249535,312.43244620766,293.937287237788,291.782761025273
"NM_199390",1060.11863377508,967.318444210742,1114.69382731388,1105.62334646354,1130.84206340093,1002.82618837812
"NM_199391",3323.38778048536,2796.28580094992,2575.05129661899,1730.48823887886,1605.42830842028,1725.20098509118
